algorithm,config_name,map_name,map_path,start_row,start_column,goal_row,goal_column,connectivity,diagonal_cost,allow_corner_cutting,run_count,success_count,success_rate,path_length_mean,path_length_std,path_length_min,path_length_max,path_length_median,normalized_path_cost_mean,normalized_path_cost_std,normalized_path_cost_min,normalized_path_cost_max,normalized_path_cost_median,runtime_ms_mean,runtime_ms_std,runtime_ms_min,runtime_ms_max,runtime_ms_median,wall_runtime_ms_mean,wall_runtime_ms_std,wall_runtime_ms_min,wall_runtime_ms_max,wall_runtime_ms_median,expanded_nodes_mean,expanded_nodes_std,expanded_nodes_min,expanded_nodes_max,expanded_nodes_median,evaluations_mean,evaluations_std,evaluations_min,evaluations_max,evaluations_median,iterations_mean,iterations_std,iterations_min,iterations_max,iterations_median,turning_count_mean,turning_count_std,turning_count_min,turning_count_max,turning_count_median
aco,configs/aco_smoke.yaml,maze_30,maps/handcrafted/maze_30.json,0,0,29,29,4,1.4142135623730951,False,3,3,1.0,326.6666666666667,16.041612554021285,310.0,342.0,328.0,1.967871485943775,0.09663622020494748,1.8674698795180722,2.0602409638554215,1.9759036144578312,1049.3927773301646,181.66875483405911,839.6243329916615,1155.4754580138251,1153.0785409850068,1049.503430656235,181.6633403028648,839.7411670011934,1155.5735829751939,1153.1955419923179,,,,,,88.0,13.856406460551018,72.0,96.0,96.0,11.0,1.7320508075688772,9.0,12.0,12.0,194.66666666666666,20.207259421636902,173.0,213.0,198.0
aco,configs/aco_smoke.yaml,no_path_20,maps/handcrafted/no_path_20.json,0,0,19,19,4,1.4142135623730951,False,3,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aco,configs/aco_smoke.yaml,open_20,maps/handcrafted/open_20.json,0,0,19,19,4,1.4142135623730951,False,3,3,1.0,49.333333333333336,6.110100926607787,44.0,56.0,48.0,1.2982456140350875,0.16079212964757328,1.1578947368421053,1.4736842105263157,1.263157894736842,370.6663749956836,123.91353793884032,241.87649998930283,489.04687497997656,381.0757500177715,370.7157776710422,123.91134146126613,241.92791699897498,489.09383299178444,381.1255830223672,,,,,,72.0,24.0,48.0,96.0,72.0,9.0,3.0,6.0,12.0,9.0,26.0,4.358898943540674,23.0,31.0,24.0
astar,configs/astar_benchmark.yaml,maze_30,maps/handcrafted/maze_30.json,0,0,29,29,4,1.4142135623730951,False,1,1,1.0,166.0,,166.0,166.0,166.0,1.0,,1.0,1.0,1.0,13.114500005031005,,13.114500005031005,13.114500005031005,13.114500005031005,13.196832995163277,,13.196832995163277,13.196832995163277,13.196832995163277,544.0,,544.0,544.0,544.0,,,,,,0.0,,0.0,0.0,0.0,11.0,,11.0,11.0,11.0
astar,configs/astar_benchmark.yaml,no_path_20,maps/handcrafted/no_path_20.json,0,0,19,19,4,1.4142135623730951,False,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astar,configs/astar_benchmark.yaml,open_20,maps/handcrafted/open_20.json,0,0,19,19,4,1.4142135623730951,False,1,1,1.0,38.0,,38.0,38.0,38.0,1.0,,1.0,1.0,1.0,1.3358749856706709,,1.3358749856706709,1.3358749856706709,1.3358749856706709,1.3564160035457462,,1.3564160035457462,1.3564160035457462,1.3564160035457462,39.0,,39.0,39.0,39.0,,,,,,0.0,,0.0,0.0,0.0,1.0,,1.0,1.0,1.0
dijkstra,configs/dijkstra.yaml,maze_30,maps/handcrafted/maze_30.json,0,0,29,29,4,1.4142135623730951,False,1,1,1.0,166.0,,166.0,166.0,166.0,1.0,,1.0,1.0,1.0,14.780833997065201,,14.780833997065201,14.780833997065201,14.780833997065201,14.850124978693202,,14.850124978693202,14.850124978693202,14.850124978693202,653.0,,653.0,653.0,653.0,,,,,,0.0,,0.0,0.0,0.0,11.0,,11.0,11.0,11.0
dijkstra,configs/dijkstra.yaml,no_path_20,maps/handcrafted/no_path_20.json,0,0,19,19,4,1.4142135623730951,False,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dijkstra,configs/dijkstra.yaml,open_20,maps/handcrafted/open_20.json,0,0,19,19,4,1.4142135623730951,False,1,1,1.0,38.0,,38.0,38.0,38.0,1.0,,1.0,1.0,1.0,7.600125012686476,,7.600125012686476,7.600125012686476,7.600125012686476,7.641332980711013,,7.641332980711013,7.641332980711013,7.641332980711013,400.0,,400.0,400.0,400.0,,,,,,0.0,,0.0,0.0,0.0,1.0,,1.0,1.0,1.0
ga,configs/ga_smoke.yaml,maze_30,maps/handcrafted/maze_30.json,0,0,29,29,4,1.4142135623730951,False,3,3,1.0,239.33333333333334,10.263202878893768,228.0,248.0,242.0,1.4417670682730923,0.0618265233668299,1.3734939759036144,1.4939759036144578,1.4578313253012047,8740.931930660736,219.503301632338,8487.644541979535,8875.68879200262,8859.462458000053,8741.808764005933,219.53928792194148,8488.47341700457,8876.438875013264,8860.513999999966,,,,,,624.0,0.0,624.0,624.0,624.0,25.0,0.0,25.0,25.0,25.0,128.0,5.5677643628300215,122.0,133.0,129.0
